ID,TenSach,TacGia,LoaiCSDL,STTKe,NXB,ChuDe
165718,Task scheduling for parallel systems,"Sinnen, Oliver
",Sách in,"044.35   
/ S616 
","Hoboken, N.J.: John Wiley & Sons, 2007",Parallel processing (Electronic computers); Computer multitasking (Computer science); Computer scheduling; Xử lý song song (điện tử máy tính); Máy tính đa nhiệm (Khoa học máy tính); Lập lịch trình máy tính
165761,Computer science reconsidered : The invocation model of process expression,"Fant, Karl M.
",Sách in,"004   
/ F216 
","Hoboken, N.J.: Wiley-Interscience, 2007",Computer science; Electronic data processing; Khoa học máy tính; Xử lý dữ liệu điện tử
153233,Principles of parallel programming,"Snyder, Lawrence ",Sách in,"005.2   
/ L735 
","Boston, Mass.: Pearson/Addison Wesley, 2009",Parallel programming (Computer science); Chương trình song song ( khoa học máy tính)
166947,Cấu trúc dữ liệu và giải thuật,"Đỗ, Xuân Lôi
",Sách in,"005.73   
/ L452 
","Hà Nội: Đại học Quốc Gia Hà Nội, 2010",Data structures (Computer science); Algorithms; Dữ liệu cấu trúc ( khoa học máy tính); Các giải thuật
196136,Designing scientific applications on GPUs,"Couturier, Raphael  - edited by
",Sách in,"006.663   
/ D457 
","Boca Raton: CRC/Taylor & Francis, 2014",Parallel programming (Computer science); Lập trình song song (Khoa học máy tính)
209226,Giáo trình lập trình hướng đối tượng,"Nguyễn, Công Huy ",Sách in; Sách điện tử,"005.133   
/ A105 
","Cần Thơ: Nxb. Đại học Cần Thơ, 2016",Object-oriented programming ( computer science ); Lập trình hướng đối tượng (khoa học máy tính)
278563,Handbook of model checking,"Clarke, Edmund M.  - editor
",Sách in,"004.0151   
/ H236 
","Cham, Switzerland: Springer, 2018",Khoa học máy tính; Computer science
272315,Conception et programmation par objets : Pour du logiciel de qualité,"Mahl, Robert  - Traducteur
",Sách in,"005.11   
/ M612 
","Paris: InterÉditions, 1990",Khoa học máy tính. Trí tuệ nhân tạo; Computer science. Artificial intelligence
262431,Object-oriented programming : An evolutionary approach,"Novobilski, Andrew J. ",Sách in,"005.1   
/ C877 
","Reading, Mass.: Addison-Wesley Pub. Co., 1991",Lập trình hướng đối tượng (Khoa học máy tính); Object-oriented programming (Computer science)
262569,Nhập môn lập trình định hướng đối tượng,"Đặng, Văn Hưng  - Biên soạn
",Sách in,"005.133   
/ Nh123 
","Thành phố Hồ Chí Minh: Viện Tin học, 1991",Lập trình hướng đối tượng (khoa học máy tính); Object-oriented programming (Computer science)
262611,Génie logiciel et génie cognitif : Pour les systèmes à base de connaissances. Volume 2,"Ermine, Jean-Louis
",Sách in,"006.33   
/ E71/Vol.2 
","Paris: Londres, 1993",Hệ chuyên gia (khoa học máy tính); Expert systems (Computer science)
270756,Concepts fondamentaux de l'informatique,"Ullman, Jeffrey David ",Sách in,"004   
/ A286 
","Paris: Dunod, 1993",Khoa học máy tính; Computer science
272306,Génie logiciel et génie cognitif : Pour les systèmes à base de connaissances,"Ermine, Jean-Louis
",Sách in,"006.33   
/ E71 
","Paris: Londres, 1993",Hệ chuyên gia (Khoa học máy tính); Expert systems (Computer science)
273491,Object-oriented system development,"Faure, Penelope ",Sách in,"005.12   
/ C451 
","Reading, Mass.: Addison-Wesley, 1993",Lập trình hướng đối tượng (Khoa học máy tính); Object-oriented programming (Computer science)
262116,La démarche objet : Concepts et outils,"Bouché, Max
",Sách in,"005.117   
/ B753 
","Paris: AFNOR, 1994",Lập trình hướng đối tượng (khoa học máy tính); Object-oriented programming (Computer science)
270862,Mixed language programming,"Telles, Matthew A.
",Sách in,"005.265   
/ T274 
","New York, N.Y.: M&T Books, 1994",Ngôn ngữ Visual (khoa học máy tính); Visual programming languages (Computer science)
272300,Types de données et algorithmes,"Gaudel, Marie - Claude ;  
Soria, Michèle ",Sách in,"005.73   
/ F929 
","Paris: Ediscience, 1994",Dữ liệu trừu tượng (Khoa học máy tính); Abstract data types (Computer science)
262586,"Spécifications algébriques, algorithmique et programmation","Bertrand, Yves ",Sách in,"005.131   
/ D861 
","Paris: InterEditions, 1995",Khoa học máy tính; Computer science
270777,Case studies in object-oriented analysis and design,"Argila, Carl ",Sách in,"005.12   
/ Y81 
","Upper Saddle River, N.J.: Prentice Hall, 1996",Lập trình hướng đối tượng (Khoa học máy tính); Object-oriented programming (Computer science)
270850,Object-oriented analysis and simulation,"Hill, David R. C.
",Sách in,"005.1   
/ H645 
","Harlow, England: Addison-Wesley, 1996",Phương pháp hướng đối tượng (Khoa học máy tính); Object-oriented methods (Computer science)
262117,Mathématiques pour l'informatique : Avec exercices corrigés,"Guessarian, Irène ",Sách in,"511.1076   
/ A752 
","Paris: Masson, 1997",Khoa học máy tính; Computer science
270839,Object technology for scientific computing : Object-oriented numerical software in Eiffel and C,"Guessarian, Irène ",Sách in,"005.12   
/ D815 
","Upper Saddle River, N.J.: Prentice Hall, 1997",Phương pháp lập trình hướng đối tượng (khoa học máy tính); Object-oriented methods (Computer science)
